SKU,Name,Description,OEM Number,Brand,Compatible Make,Compatible Model,Year From,Year To,Weight,Dimensions,Unit Price,Cost Price
SKU-038000,Valeo Spark Plug,High quality Spark Plug for BMW Sportage,OEM-597543,Valeo,BMW,Sportage,2005,2010,10.99,34x12x5 cm,209.23,156.06
SKU-038001,Delphi Spark Plug,High quality Spark Plug for Ford A4,OEM-321787,Delphi,Ford,A4,2016,2021,1.45,48x50x29 cm,318.53,241.16
SKU-038002,NGK Timing Belt,High quality Timing Belt for Honda Focus,OEM-310390,NGK,Honda,Focus,2005,2009,3.66,45x36x7 cm,322.33,185.78
SKU-038003,Mahle Shock Absorber,High quality Shock Absorber for Honda Elantra,OEM-326704,Mahle,Honda,Elantra,2000,2007,7.43,49x39x23 cm,186.64,100.41
SKU-038004,Febi Timing Belt,High quality Timing Belt for BMW X5,OEM-598486,Febi,BMW,X5,2012,2018,9.09,48x18x22 cm,431.92,277.49
SKU-038005,Bosch Clutch Kit,High quality Clutch Kit for Audi Elantra,OEM-665853,Bosch,Audi,Elantra,2003,2004,9.16,40x38x11 cm,424.37,213.05
SKU-038006,Denso Timing Belt,High quality Timing Belt for BMW X5,OEM-955723,Denso,BMW,X5,2008,2010,9.82,24x42x29 cm,46.03,27.96
SKU-038007,NGK Air Filter,High quality Air Filter for Ford Civic,OEM-321835,NGK,Ford,Civic,2008,2012,5.16,45x17x24 cm,357.56,219.11
SKU-038008,Bosch Alternator,High quality Alternator for Toyota Elantra,OEM-913085,Bosch,Toyota,Elantra,2015,2021,9.89,47x27x20 cm,213.51,109.47
SKU-038009,Denso Brake Pad,High quality Brake Pad for Ford Camry,OEM-270027,Denso,Ford,Camry,2002,2003,12.26,26x40x9 cm,241.21,180.59
SKU-038010,Bosch Shock Absorber,High quality Shock Absorber for Hyundai Sportage,OEM-268638,Bosch,Hyundai,Sportage,2011,2012,7.11,18x49x16 cm,394.73,232.75
SKU-038011,Mahle Oil Filter,High quality Oil Filter for Honda Camry,OEM-361033,Mahle,Honda,Camry,2004,2011,10.88,35x28x18 cm,24.25,19.15
SKU-038012,NGK Shock Absorber,High quality Shock Absorber for Audi Focus,OEM-887978,NGK,Audi,Focus,2016,2018,2.65,35x47x17 cm,15.34,10.01
SKU-038013,Valeo Radiator,High quality Radiator for Mercedes Civic,OEM-883501,Valeo,Mercedes,Civic,2006,2010,4.0,15x42x25 cm,101.52,70.95
SKU-038014,Denso Timing Belt,High quality Timing Belt for Honda Corolla,OEM-984146,Denso,Honda,Corolla,2006,2010,14.78,30x49x24 cm,258.38,201.33
SKU-038015,Delphi Oil Filter,High quality Oil Filter for Toyota Camry,OEM-920700,Delphi,Toyota,Camry,2018,2020,6.96,49x25x14 cm,293.07,222.9
SKU-038016,Delphi Alternator,High quality Alternator for Kia Elantra,OEM-525797,Delphi,Kia,Elantra,2004,2007,5.6,38x49x28 cm,255.78,130.44
SKU-038017,Febi Fuel Pump,High quality Fuel Pump for BMW X5,OEM-102797,Febi,BMW,X5,2016,2023,7.59,22x40x16 cm,35.04,21.5
SKU-038018,Mahle Fuel Pump,High quality Fuel Pump for Honda C-Class,OEM-962541,Mahle,Honda,C-Class,2002,2007,10.95,48x26x16 cm,384.75,232.19
SKU-038019,SKF Oil Filter,High quality Oil Filter for Ford Camry,OEM-820345,SKF,Ford,Camry,2007,2012,0.21,12x25x5 cm,199.03,150.92
SKU-038020,NGK Timing Belt,High quality Timing Belt for Ford Elantra,OEM-453392,NGK,Ford,Elantra,2008,2014,8.38,20x28x18 cm,179.34,101.15
SKU-038021,Mahle Oil Filter,High quality Oil Filter for Ford A4,OEM-896115,Mahle,Ford,A4,2014,2021,6.37,31x50x21 cm,131.4,97.69
SKU-038022,Mahle Radiator,High quality Radiator for Toyota Focus,OEM-226704,Mahle,Toyota,Focus,2011,2014,3.44,48x42x20 cm,140.79,106.77
SKU-038023,Delphi Fuel Pump,High quality Fuel Pump for Toyota Civic,OEM-894564,Delphi,Toyota,Civic,2008,2009,0.41,25x40x17 cm,402.56,251.54
SKU-038024,SKF Clutch Kit,High quality Clutch Kit for Ford Camry,OEM-600139,SKF,Ford,Camry,2016,2023,10.82,41x15x20 cm,52.45,39.67
SKU-038025,Mahle Alternator,High quality Alternator for Toyota Corolla,OEM-882696,Mahle,Toyota,Corolla,2011,2016,13.39,17x22x11 cm,213.64,138.26
SKU-038026,NGK Clutch Kit,High quality Clutch Kit for Audi Civic,OEM-279995,NGK,Audi,Civic,2001,2004,6.87,49x39x20 cm,465.22,304.76
SKU-038027,SKF Air Filter,High quality Air Filter for BMW Focus,OEM-618137,SKF,BMW,Focus,2014,2017,0.13,35x19x24 cm,108.52,80.69
SKU-038028,SKF Fuel Pump,High quality Fuel Pump for Kia X5,OEM-594007,SKF,Kia,X5,2000,2001,3.51,30x38x10 cm,474.67,320.29
SKU-038029,Mahle Oil Filter,High quality Oil Filter for Mercedes Corolla,OEM-907613,Mahle,Mercedes,Corolla,2000,2001,6.66,49x15x26 cm,84.59,51.07
SKU-038030,NGK Shock Absorber,High quality Shock Absorber for Ford Camry,OEM-380834,NGK,Ford,Camry,2016,2019,3.3,28x22x14 cm,340.76,193.21
SKU-038031,SKF Air Filter,High quality Air Filter for Ford C-Class,OEM-917379,SKF,Ford,C-Class,2010,2014,10.89,11x20x8 cm,267.03,192.27
SKU-038032,Denso Brake Pad,High quality Brake Pad for Kia X5,OEM-694935,Denso,Kia,X5,2016,2020,11.74,20x45x8 cm,199.61,113.85
SKU-038033,Denso Oil Filter,High quality Oil Filter for Ford Focus,OEM-764573,Denso,Ford,Focus,2016,2018,12.12,33x26x14 cm,286.78,183.86
SKU-038034,Mahle Oil Filter,High quality Oil Filter for Ford C-Class,OEM-776946,Mahle,Ford,C-Class,2014,2016,11.24,17x13x19 cm,97.24,75.1
SKU-038035,Febi Clutch Kit,High quality Clutch Kit for Hyundai X5,OEM-581721,Febi,Hyundai,X5,2005,2012,10.06,10x30x27 cm,334.9,187.52
